Fecha_Venta,ID_Producto,Cantidad,Precio_Unitario,Tienda
2024-01-01,4,9,87.92,Sucursal B
2024-01-02,8,3,41.26,Sucursal A
2024-01-03,7,6,84.36,Sucursal B
2024-01-04,3,7,64.88,Sucursal A
2024-01-05,3,1,51.28,Sucursal B
2024-01-06,8,9,39.72,Sucursal B
2024-01-07,10,9,22.82,Sucursal A
2024-01-08,5,2,25.34,Sucursal A
2024-01-09,5,6,69.39,Sucursal B
2024-01-10,1,10,15.59,Sucursal A
2024-01-11,5,9,25.58,Sucursal B
2024-01-12,4,9,40.54,Sucursal A
2024-01-13,8,4,54.01,Sucursal B
2024-01-14,3,2,45.02,Sucursal B
2024-01-15,1,3,80.41,Sucursal B
